State,All Sites,Female Breast,Uterine Cervix,Colon & Rectum,Uterine Corpus,Leukemia,Lung &  Bronchus,Melanoma of the Skin,Non-Hodgkin Lymphoma, Prostate,Urinary  Bladder,
Alabama,"26,770","3,660",210,"2,350",650,690,"4,160","1,320",990,"3,760",990,
Alaska,"3,750",450,NA,280,100,100,430,90,140,530,150,
Arizona,"32,830","4,520",210,"2,560",910,950,"4,280","1,430","1,320","4,390","1,490",
Arkansas,"16,520","2,050",140,"1,500",400,480,"2,660",490,660,"2,240",640,
California,"171,730","26,130","1,550","13,930","5,650","5,650","18,780","8,440","7,770","23,010","7,210",
Colorado,"23,810","3,780",160,"1,720",750,870,"2,540","1,400","1,060","3,680","1,040",
Connecticut,"22,070","3,160",120,"1,650",790,610,"2,730","1,090",920,"3,120","1,170",
Delaware,"5,320",760,NA,420,180,150,790,290,220,800,260,
Dist. of Columbia,"2,840",430,NA,250,100,60,320,80,100,510,80,
Florida,"114,560","15,480",960,"10,230","3,410","3,810","17,960","5,320","5,050","16,590","5,800",
Georgia,"47,390","7,010",420,"3,940","1,310","1,370","6,540","2,180","1,820","7,600","1,710",
Hawaii,"6,640","1,090",60,700,270,220,890,410,300,810,250,
Idaho,"7,990","1,100",50,610,230,290,960,450,360,"1,320",390,
Illinois,"66,840","9,230",470,"5,530","2,290","2,180","9,100","2,440","2,890","8,820","3,090",
Indiana,"35,560","4,590",260,"3,020","1,070","1,060","5,540","1,550","1,480","4,390","1,600",
Iowa,"17,630","2,320",100,"1,580",610,640,"2,330",980,800,"2,340",830,
Kansas,"14,630","2,090",100,"1,120",470,490,"1,900",780,650,"1,980",620,
Kentucky,"25,770","3,370",200,"2,170",720,790,"4,690","1,540","1,070","3,280","1,100",
Louisiana,"24,300","3,160",200,"2,270",540,720,"3,470",750,960,"3,720",940,
Maine,"9,270","1,220",50,700,340,310,"1,400",440,380,"1,160",540,
Maryland,"30,680","4,570",230,"2,500","1,020",800,"3,990","1,400","1,210","5,000","1,280",
Massachusetts,"37,940","5,560",200,"2,800","1,320","1,140","4,930","1,800","1,600","5,600","2,030",
Michigan,"58,610","7,660",340,"4,570","2,010","1,830","8,090","2,830","2,500","8,740","2,930",
Minnesota,"29,340","3,820",130,"2,240",950,"1,050","3,070","1,030","1,240","3,870","1,220",
Mississippi,"15,740","2,130",140,"1,510",360,410,"2,420",560,560,"2,210",540,
Missouri,"33,890","4,610",240,"2,970","1,090","1,040","5,370","1,510","1,430","4,010","1,530",
Montana,"5,850",860,NA,500,180,200,760,290,260,"1,010",300,
Nebraska,"9,550","1,360",60,880,320,330,"1,220",460,440,"1,250",430,
Nevada,"14,450","1,880",120,"1,290",350,440,"2,040",470,550,"1,890",680,
New Hampshire,"8,450","1,150",NA,600,300,250,"1,110",400,350,"1,160",460,
New Jersey,"51,130","7,290",380,"4,280","1,820","1,560","6,130","2,590","2,250","7,320","2,510",
New Mexico,"10,210","1,450",80,830,300,370,"1,060",470,400,"1,400",400,
New York,"107,200","15,230",850,"8,590","4,040","3,460","13,720","4,240","4,720","15,440","5,330",
North Carolina,"52,550","7,580",380,"4,230","1,570","1,550","7,850","2,540","2,110","7,580","2,170",
North Dakota,"3,730",510,NA,350,110,130,400,160,160,460,180,
Ohio,"67,000","8,710",400,"5,450","2,280","1,890","9,760","3,170","2,860","8,690","3,110",
Oklahoma,"19,830","2,700",160,"1,760",530,660,"3,320",650,850,"2,570",830,
Oregon,"22,530","3,320",130,"1,540",720,640,"2,950","1,440",960,"3,200","1,080",
Pennsylvania,"79,920","10,660",500,"6,790","2,840","2,420","10,290","3,820","3,420","10,930","4,070",
Rhode Island,"6,370",870,NA,500,230,180,870,260,250,840,340,
South Carolina,"26,390","3,750",210,"2,200",750,790,"4,130","1,350","1,030","4,000","1,100",
South Dakota,"4,490",600,NA,410,150,160,540,200,200,590,210,
Tennessee,"36,570","4,840",290,"3,030",930,"1,040","5,980","1,910","1,470","4,670","1,510",
Texas,"115,730","16,080","1,140","9,760","3,130","4,190","14,890","3,420","5,030","15,900","4,190",
Utah,"10,780","1,440",60,650,350,390,650,770,490,"1,780",420,
Vermont,"4,130",560,NA,290,140,110,550,220,160,580,210,
Virginia,"40,970","6,170",290,"3,280","1,300","1,080","5,580","2,130","1,640","6,330","1,700",
Washington,"38,230","5,620",230,"2,670","1,160","1,250","4,630","2,410","1,710","5,380","1,730",
West Virginia,"11,700","1,350",90,"1,060",380,330,"2,090",540,480,"1,450",570,
Wisconsin,"32,480","4,330",190,"2,520","1,140","1,150","4,020","1,440","1,410","4,630","1,580",
Wyoming,"2,890",420,NA,240,90,90,330,150,120,490,140,
United States,"1,665,540","232,670","12,360","136,830","52,630","52,380","224,210","76,100","70,800","233,000","74,690",
